restaurant_name,online_order,book_table,rate_out_of_5,total_votes,location,rest_type,approx_cost_for_two,type_of_meal
Naveen Kabab & Biriyani Mane,No,No,3.2,9,Banashankari,Quick Bites,300,Delivery
Katriguppe Donne Biryani,No,No,3.2,4,Banashankari,Quick Bites,300,Delivery
Hari Super Sandwich,No,No,,0,Banashankari,"Takeaway, Delivery",200,Delivery
Atithi Point Ande Ka Funda,No,No,3.1,29,Banashankari,Quick Bites,150,Delivery
Just Bake,No,No,3.4,8,Banashankari,Bakery,400,Delivery
Dharwad Line Bazaar Mishra Pedha,No,No,,0,Banashankari,Dessert Parlor,150,Delivery
Cake Bite,No,No,,0,Banashankari,Bakery,300,Delivery
Aarush's Food Plaza,No,No,,0,Banashankari,Quick Bites,200,Delivery
Wood Stove,No,No,,0,Banashankari,"Takeaway, Delivery",150,Delivery
Kulfi & More,No,No,,0,Banashankari,Dessert Parlor,150,Delivery
Kannadigas Karavali,No,No,,0,Banashankari,Quick Bites,250,Delivery
K27 - The Pub,No,No,3.1,30,Banashankari,Bar,"1,000",Delivery
Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,Quick Bites,300,Delivery
New Mangalore Lunch Home,No,No,3.3,7,Banashankari,Quick Bites,200,Delivery
Coffee Bytes,No,No,3.1,6,Banashankari,Quick Bites,100,Delivery
Parjanya Chat Zone,No,No,3.3,17,Banashankari,Quick Bites,200,Delivery
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,Banashankari,Dessert Parlor,200,Delivery
Soms Kitchen & Bakes,No,No,,0,Banashankari,Delivery,400,Delivery
Banashankari Nati Style,No,No,,0,Banashankari,Quick Bites,350,Delivery
Ruchi Maayaka,No,No,3.3,8,Banashankari,Delivery,100,Delivery
Mohitesh Hut Roll,No,No,,0,Banashankari,Quick Bites,150,Delivery
Sri Basaveshwar Jolada Rotti Oota,No,No,,0,Banashankari,Quick Bites,150,Delivery
Roll Magic Fast Food,No,No,,0,Banashankari,"Takeaway, Delivery",200,Delivery
Foodlieious Multi Cuisine,No,No,,0,Banashankari,Quick Bites,100,Delivery
Thanishka Nati And Karavali Style,No,No,,0,Banashankari,Quick Bites,400,Delivery
Swathi Cool Point,No,No,,0,Banashankari,Beverage Shop,200,Delivery
Kaumudis Juoice,No,No,,0,Banashankari,"Beverage Shop, Quick Bites",150,Delivery
Amma - Manae,No,No,,0,Banashankari,"Takeaway, Delivery",400,Delivery
Sri Sai Tiffannies,No,No,,0,Banashankari,Quick Bites,150,Delivery
Hotel Andhra Speices,No,No,,0,Banashankari,Quick Bites,250,Delivery
Sri Murari Family Restaurant,No,No,,0,Banashankari,Quick Bites,250,Delivery
Aramane Donne Biriyani,No,No,,0,Banashankari,Quick Bites,150,Delivery
Darkolates,No,No,,0,Banashankari,Confectionery,200,Delivery
Swaada Healthy Kitchen,No,No,,0,Banashankari,"Quick Bites, Beverage Shop",350,Delivery
Gawdaru Mane Beriyani,No,No,,0,Banashankari,Quick Bites,300,Delivery
Melting Melodies,No,No,,0,Banashankari,"Takeaway, Delivery",100,Delivery
New Indraprasta,No,No,,0,Banashankari,Quick Bites,150,Delivery
Anna Kuteera,Yes,No,4.0,771,Banashankari,Casual Dining,450,Delivery
Darbar,No,No,3.0,98,Banashankari,Bar,800,Delivery
Vijayalakshmi,Yes,No,3.9,47,Basavanagudi,Quick Bites,200,Delivery
Sri Udupi Food Hub,Yes,Yes,4.1,175,Jayanagar,Casual Dining,500,Delivery
Udupi Upahar,Yes,No,3.8,58,Banashankari,Quick Bites,300,Delivery
House Of Kebabs,Yes,No,3.8,540,Basavanagudi,Casual Dining,650,Delivery
Roll N Rock,Yes,No,3.8,124,Kumaraswamy Layout,Quick Bites,400,Delivery
BOX8- Desi Meals,Yes,No,4.1,340,Banashankari,"Takeaway, Delivery",500,Delivery
KFC,Yes,No,3.8,505,Banashankari,Quick Bites,450,Delivery
Bitez,No,No,,0,Banashankari,Quick Bites,100,Delivery
Roll Over,Yes,No,4.1,438,Jayanagar,Dessert Parlor,500,Delivery
Imperial Restaurant,Yes,No,3.7,264,Mysore Road,Casual Dining,750,Delivery
Lassi Shop,Yes,No,3.9,169,Kumaraswamy Layout,Beverage Shop,150,Delivery
The Fortuna,Yes,No,3.0,67,Kumaraswamy Layout,Quick Bites,250,Delivery
Wahab,Yes,No,3.7,97,Jayanagar,Quick Bites,350,Delivery
Al Diwan Biryanis And More,Yes,No,3.3,12,Basavanagudi,"Takeaway, Delivery",300,Delivery
New Gowda's Fried Chicken,Yes,No,3.3,12,Banashankari,Quick Bites,300,Delivery
Canton,Yes,No,3.6,195,Jayanagar,Casual Dining,800,Delivery
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,13,Basavanagudi,"Dessert Parlor, Sweet Shop",300,Delivery
The Blue Wagon - Kitchen,Yes,No,4.6,228,Jayanagar,Cafe,400,Delivery
HOT COFFEE,Yes,No,4.1,70,Basavanagudi,Quick Bites,150,Delivery
Patio 805,Yes,Yes,4.1,364,Jayanagar,Casual Dining,"1,200",Delivery
Lassi Corner,Yes,No,3.7,107,Basavanagudi,Beverage Shop,150,Delivery
Sagar Deluxe,Yes,No,3.2,167,Kumaraswamy Layout,Quick Bites,300,Delivery
Kanti Sweets,Yes,No,4.0,115,Banashankari,Sweet Shop,400,Delivery
Vegetalia,Yes,No,3.7,27,Banashankari,"Takeaway, Delivery",400,Delivery
Aramane Donne Biryani,Yes,No,3.5,57,Banashankari,Quick Bites,200,Delivery
Ande Ka Funda,Yes,No,3.8,120,Banashankari,Quick Bites,250,Delivery
Cake Ghar,Yes,No,3.8,15,Basavanagudi,Bakery,400,Delivery
Energy Addaa,Yes,No,4.2,64,Basavanagudi,Quick Bites,500,Delivery
Bhattara Bhojana,Yes,No,3.6,66,Banashankari,Quick Bites,150,Delivery
Tandoori Knight,Yes,No,3.0,290,Banashankari,Quick Bites,450,Delivery
Dev Sagar - Food Street,Yes,No,4.1,233,Basavanagudi,Quick Bites,200,Delivery
Mitraa Da Pizza,Yes,No,3.8,115,Kumaraswamy Layout,Quick Bites,250,Delivery
Paradise Premium,Yes,No,3.1,119,Banashankari,Casual Dining,700,Delivery
Grazers,Yes,Yes,3.9,291,Jayanagar,Cafe,650,Delivery
Shakes Theory,Yes,No,4.5,155,Jayanagar,Beverage Shop,300,Delivery
@Italy,Yes,No,4.1,305,Kumaraswamy Layout,Casual Dining,700,Delivery
Chilli Flakes,Yes,No,3.6,46,Banashankari,Quick Bites,500,Delivery
Calcutta Cafe,Yes,No,3.5,45,Kumaraswamy Layout,Quick Bites,350,Delivery
Old Mumbai Ice Cream,Yes,No,3.9,38,Banashankari,Dessert Parlor,150,Delivery
Donne Biriyani House,Yes,No,3.9,441,Banashankari,Quick Bites,400,Delivery
By 2 Coffee,Yes,No,3.9,25,Basavanagudi,Quick Bites,100,Delivery
Kedia's Fun Food,Yes,No,4.3,630,Jayanagar,Quick Bites,200,Delivery
Davangere Butter Dosa Hotel,Yes,No,3.8,25,Kumaraswamy Layout,Quick Bites,150,Delivery
Just Shawarma,Yes,No,3.9,160,Kumaraswamy Layout,Quick Bites,300,Delivery
Mini Punjabi Dhaba,Yes,No,4.2,287,Banashankari,Quick Bites,350,Delivery
Mulabagilu Dosa,Yes,No,3.6,11,Basavanagudi,Quick Bites,100,Delivery
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,Cafe,500,Delivery
